id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95,outcome_code,subset
CPN2_deCODE,NAFLD,非酒精性脂肪肝,plasma CPN2,Inverse variance weighted,3,0.102817786068535,0.0499425279794825,0.0395208679040888,0.00493043122874927,0.200705140908321,1.10828944489927,1.00494260580521,1.22226432293707,NAFLD,全部工具变量
CPN2_deCODE,NAFLD,非酒精性脂肪肝,plasma CPN2,MR Egger,3,0.123133453200757,0.0754973850037144,0.350154488321535,-0.024841421406523,0.271108327808037,1.13103535116399,0.975464587566177,1.31141712563282,NAFLD,全部工具变量
CPN2_deCODE,NAFLD,非酒精性脂肪肝,plasma CPN2,Weighted median,3,0.104806109199581,0.0492750405283205,0.0334232904980698,0.00822702976407257,0.201385188635089,1.11049527466291,1.00826096477104,1.22309580370265,NAFLD,全部工具变量
CPN2_deCODE,NAFLD,非酒精性脂肪肝,plasma CPN2,Weighted mode,3,0.104083926239268,0.0528865117773909,0.187919926285791,0.000426363155581269,0.207741489322954,1.10969358341676,1.00042645406127,1.23089492893489,NAFLD,全部工具变量
CPN2_deCODE,NAFLD,非酒精性脂肪肝,plasma CPN2,Inverse variance weighted,2,0.012385707741648,0.357425754152314,0.972356811349884,-0.688168770396888,0.712940185880184,1.01246272827591,0.502495411518589,2.03998037126351,NAFLD,剔除 PAV 变异
CPN2_deCODE,CIRRHOSIS_BROAD,肝硬化,plasma CPN2,Inverse variance weighted,3,0.0591755407411344,0.039820246774696,0.137261492415267,-0.0188721429372697,0.137223224419539,1.06096146635671,0.981304820974296,1.14708417714302,CIRRHOSIS_BROAD,全部工具变量
CPN2_deCODE,CIRRHOSIS_BROAD,肝硬化,plasma CPN2,MR Egger,3,0.0662229179564303,0.0601940873572109,0.469662570113073,-0.0517574932637031,0.184203329176564,1.06846487062614,0.949559113405103,1.20226025283283,CIRRHOSIS_BROAD,全部工具变量
CPN2_deCODE,CIRRHOSIS_BROAD,肝硬化,plasma CPN2,Weighted median,3,0.0599170046369962,0.0395211073413069,0.129500121418517,-0.0175443657519652,0.137378375025958,1.06174842269271,0.98260864052679,1.14726216175557,CIRRHOSIS_BROAD,全部工具变量
CPN2_deCODE,CIRRHOSIS_BROAD,肝硬化,plasma CPN2,Weighted mode,3,0.0601995922156154,0.0403083397526135,0.273887197565317,-0.0188047536995072,0.139203938130738,1.06204850200593,0.981370952586448,1.14935847412264,CIRRHOSIS_BROAD,全部工具变量
CPN2_deCODE,CIRRHOSIS_BROAD,肝硬化,plasma CPN2,Inverse variance weighted,2,0.00043006000085103,0.284805633583253,0.998795184982191,-0.557788981822324,0.558649101824026,1.00043015248991,0.572473414708529,1.74830911671343,CIRRHOSIS_BROAD,剔除 PAV 变异
CPN2_deCODE,C3_HEPATOCELLU_CARC_EXALLC,肝细胞癌,plasma CPN2,Inverse variance weighted,3,-0.0554140846010148,0.116935778479877,0.635582079653563,-0.284608210421573,0.173780041219544,0.946093304162466,0.752308943391338,1.18979383143587,C3_HEPATOCELLU_CARC_EXALLC,全部工具变量
CPN2_deCODE,C3_HEPATOCELLU_CARC_EXALLC,肝细胞癌,plasma CPN2,MR Egger,3,-0.0309846613024429,0.248068616212026,0.920893583210567,-0.517199149078014,0.455229826473128,0.969490443682678,0.596188045511035,1.57653567103374,C3_HEPATOCELLU_CARC_EXALLC,全部工具变量
CPN2_deCODE,C3_HEPATOCELLU_CARC_EXALLC,肝细胞癌,plasma CPN2,Weighted median,3,-0.0516768797881462,0.0983719717262327,0.599359939556016,-0.244485944371562,0.14113218479527,0.949635663750934,0.783106995348963,1.15157685887587,C3_HEPATOCELLU_CARC_EXALLC,全部工具变量
CPN2_deCODE,C3_HEPATOCELLU_CARC_EXALLC,肝细胞癌,plasma CPN2,Weighted mode,3,-0.0489560976652199,0.0976115207961747,0.665754448596594,-0.240274678425722,0.142362483095283,0.95222293359087,0.786411821036172,1.15299451381809,C3_HEPATOCELLU_CARC_EXALLC,全部工具变量
CPN2_deCODE,C3_HEPATOCELLU_CARC_EXALLC,肝细胞癌,plasma CPN2,Inverse variance weighted,2,-0.471701947948369,1.10758301718766,0.670192333277882,-2.64256466163619,1.69916076573945,0.623939451640322,0.0711784865345345,5.46935539468577,C3_HEPATOCELLU_CARC_EXALLC,剔除 PAV 变异
