id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,analysis
NAFLD_FinnGenR12,CPN2_deCODE,plasma CPN2,NAFLD,Inverse variance weighted,3,0.00337553482485146,0.0292317915142199,0.908068805836302,全基因组显著位点
NAFLD_FinnGenR12,CPN2_deCODE,plasma CPN2,NAFLD,MR Egger,3,-0.0179572360728155,0.101736843497595,0.888777919956927,全基因组显著位点
NAFLD_FinnGenR12,CPN2_deCODE,plasma CPN2,NAFLD,Weighted median,3,-0.0068719453972801,0.0200214508089399,0.731426082126396,全基因组显著位点
NAFLD_FinnGenR12,CPN2_deCODE,plasma CPN2,NAFLD,Weighted mode,3,-0.0181557949656008,0.0213149975065476,0.484054428814023,全基因组显著位点
NAFLD_FinnGenR12,CPN2_deCODE,plasma CPN2,NAFLD,Inverse variance weighted,4,0.0305357849979883,0.07362251284467,0.678316494838894,另加 GCKR(仅作多效性示例)
NAFLD_FinnGenR12,CPN2_deCODE,plasma CPN2,NAFLD,MR Egger,4,-0.136134339799763,0.110561293492158,0.34335039530294,另加 GCKR(仅作多效性示例)
NAFLD_FinnGenR12,CPN2_deCODE,plasma CPN2,NAFLD,Weighted median,4,-0.00616793065083081,0.0199181505502909,0.756816616217581,另加 GCKR(仅作多效性示例)
NAFLD_FinnGenR12,CPN2_deCODE,plasma CPN2,NAFLD,Weighted mode,4,-0.0118793720986585,0.0198284895207321,0.591325128876238,另加 GCKR(仅作多效性示例)
TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1,1,TRUE
