id.exposure,id.outcome,outcome,exposure,method,Q,Q_df,Q_pval,outcome_code,subset
CPN2_deCODE,NAFLD,非酒精性脂肪肝,plasma CPN2,MR Egger,0.165591155957144,1,0.684060185522557,NAFLD,全部工具变量
CPN2_deCODE,NAFLD,非酒精性脂肪肝,plasma CPN2,Inverse variance weighted,0.294342857493941,2,0.863145996695941,NAFLD,全部工具变量
CPN2_deCODE,NAFLD,非酒精性脂肪肝,plasma CPN2,Inverse variance weighted,0.229054403734452,1,0.632225861938193,NAFLD,剔除 PAV 变异
CPN2_deCODE,CIRRHOSIS_BROAD,肝硬化,plasma CPN2,MR Egger,0.0599930557828713,1,0.806506916459827,CIRRHOSIS_BROAD,全部工具变量
CPN2_deCODE,CIRRHOSIS_BROAD,肝硬化,plasma CPN2,Inverse variance weighted,0.0843666672833227,2,0.958694003597142,CIRRHOSIS_BROAD,全部工具变量
CPN2_deCODE,CIRRHOSIS_BROAD,肝硬化,plasma CPN2,Inverse variance weighted,0.0409730749991028,1,0.839589903088985,CIRRHOSIS_BROAD,剔除 PAV 变异
CPN2_deCODE,C3_HEPATOCELLU_CARC_EXALLC,肝细胞癌,plasma CPN2,MR Egger,2.88986548846577,1,0.0891383674337501,C3_HEPATOCELLU_CARC_EXALLC,全部工具变量
CPN2_deCODE,C3_HEPATOCELLU_CARC_EXALLC,肝细胞癌,plasma CPN2,Inverse variance weighted,2.93963483959698,2,0.229967468860718,C3_HEPATOCELLU_CARC_EXALLC,全部工具变量
CPN2_deCODE,C3_HEPATOCELLU_CARC_EXALLC,肝细胞癌,plasma CPN2,Inverse variance weighted,2.56944807286445,1,0.108945736819105,C3_HEPATOCELLU_CARC_EXALLC,剔除 PAV 变异
