id.exposure,id.outcome,outcome,exposure,egger_intercept,se,pval,outcome_code,subset
CPN2_deCODE,NAFLD,非酒精性脂肪肝,plasma CPN2,-0.00891667704248781,0.0248500088870326,0.780677830498501,NAFLD,全部工具变量
CPN2_deCODE,NAFLD,非酒精性脂肪肝,plasma CPN2,,,,NAFLD,剔除 PAV 变异
CPN2_deCODE,CIRRHOSIS_BROAD,肝硬化,plasma CPN2,-0.00309284952705725,0.0198106556465469,0.90140648655525,CIRRHOSIS_BROAD,全部工具变量
CPN2_deCODE,CIRRHOSIS_BROAD,肝硬化,plasma CPN2,,,,CIRRHOSIS_BROAD,剔除 PAV 变异
CPN2_deCODE,C3_HEPATOCELLU_CARC_EXALLC,肝细胞癌,plasma CPN2,-0.0107258605427838,0.0817315943682281,0.916929358212546,C3_HEPATOCELLU_CARC_EXALLC,全部工具变量
CPN2_deCODE,C3_HEPATOCELLU_CARC_EXALLC,肝细胞癌,plasma CPN2,,,,C3_HEPATOCELLU_CARC_EXALLC,剔除 PAV 变异
